CPIA2,2011-01-04 00:00:00,15
CPIA2,2011-02-02 00:00:00,12
CPIA2,2011-03-02 00:00:00,8
CPIA2,2011-12-01 00:00:00,21
CPIA2,2012-01-04 00:00:00,8
CPIA2,2012-02-02 00:00:00,10
CPIA2,2012-03-01 00:00:00,0
CPIA2,2012-03-29 00:00:00,0
CPIA2,2012-11-02 00:00:00,5
CPIA2,2012-11-29 00:00:00,8
CPIA2,2012-12-31 00:00:00,14
CPIA2,2013-02-01 00:00:00,5
CPIA2,2013-02-28 00:00:00,4
CPIA2,2013-03-29 00:00:00,3
CPIA2,2013-12-05 00:00:00,8
CPIA2,2014-01-03 00:00:00,9
CPIA2,2014-02-04 00:00:00,4
CPIA2,2014-04-03 00:00:00,0
CPIA2,2014-12-04 00:00:00,7
CPIA2,2014-12-31 00:00:00,4
CPIA2,2015-03-03 00:00:00,2
CPIA2,2015-04-02 00:00:00,0
CPIA2,2015-12-02 00:00:00,0
CPIA2,2016-01-06 19:00:00,12
CPIA2,2016-02-02 21:00:00,12
CPIA2,2016-03-03 19:00:00,0
CPIA2,2016-04-01 18:00:00,0
CPIA2,2016-11-30 20:00:00,10
CPIA2,2017-01-03 21:00:00,14
CPIA2,2017-02-01 21:00:00,12
CPIA2,2017-03-02 21:00:00,9
CPIA2,2018-01-04 21:00:00,17
CPIA2,2018-01-31 21:00:00,18
CPIA2,2019-02-01 21:00:00,22
CPIA2,2020-02-10 19:00:00,33
CPIA2,2020-03-02 21:00:00,24
CPIA2,2020-11-02 23:00:00,4
CPIA2,2020-12-01 21:00:00,11
CPIA2,2021-01-05 21:00:00,7
CPIA2,2021-02-01 21:00:00,7
CPIA2,2021-03-04 21:00:00,24
SMLA2,1965-03-05 00:00:00,34
SMLA2,1965-03-12 00:00:00,34
SMLA2,1965-03-19 00:00:00,34
SMLA2,1965-03-27 00:00:00,34
SMLA2,1965-09-30 00:00:00,0
SMLA2,1965-10-09 00:00:00,3
SMLA2,1965-10-21 00:00:00,9
SMLA2,1965-11-06 00:00:00,11
SMLA2,1965-11-13 00:00:00,12
SMLA2,1965-11-20 00:00:00,13
SMLA2,1965-11-27 00:00:00,13
SMLA2,1965-12-05 00:00:00,14
SMLA2,1965-12-12 00:00:00,16
SMLA2,1965-12-19 00:00:00,15
SMLA2,1965-12-26 00:00:00,18
SMLA2,1966-01-31 00:00:00,28
SMLA2,1966-02-05 00:00:00,30
SMLA2,1966-02-12 00:00:00,30
SMLA2,1966-02-20 00:00:00,34
SMLA2,1966-02-28 00:00:00,34
SMLA2,1966-03-31 00:00:00,33
SMLA2,1966-04-03 00:00:00,32
SMLA2,1966-04-10 00:00:00,32
SMLA2,1966-04-17 00:00:00,30
SMLA2,1966-04-24 00:00:00,32
SMLA2,1966-04-30 00:00:00,31
SMLA2,1966-05-31 00:00:00,0
SMLA2,1966-10-15 00:00:00,0
SMLA2,1966-10-22 00:00:00,3
SMLA2,1966-10-29 00:00:00,7
SMLA2,1966-11-02 00:00:00,10
SMLA2,1966-11-09 00:00:00,10
SMLA2,1966-11-16 00:00:00,11
SMLA2,1966-11-18 00:00:00,13
SMLA2,1966-11-30 00:00:00,14
SMLA2,1966-12-06 00:00:00,17
SMLA2,1966-12-13 00:00:00,18
SMLA2,1966-12-20 00:00:00,19
SMLA2,1966-12-26 00:00:00,21
SMLA2,1967-01-04 00:00:00,22
SMLA2,1967-01-11 00:00:00,23
SMLA2,1967-01-19 00:00:00,24
SMLA2,1967-01-25 00:00:00,24
SMLA2,1967-02-01 00:00:00,25
SMLA2,1967-02-08 00:00:00,25
SMLA2,1967-02-15 00:00:00,28
SMLA2,1967-02-21 00:00:00,26
SMLA2,1967-02-28 00:00:00,26
SMLA2,1967-03-08 00:00:00,26
SMLA2,1967-03-15 00:00:00,27
SMLA2,1967-03-22 00:00:00,28
SMLA2,1967-03-31 00:00:00,27
SMLA2,1967-04-06 00:00:00,27
SMLA2,1967-04-13 00:00:00,28
SMLA2,1967-04-20 00:00:00,28
SMLA2,1967-04-28 00:00:00,30
SMLA2,1967-05-31 00:00:00,0
SMLA2,1967-10-18 00:00:00,3
SMLA2,1967-10-31 00:00:00,7
SMLA2,1967-11-06 00:00:00,8
SMLA2,1967-11-13 00:00:00,8
SMLA2,1967-11-20 00:00:00,8
SMLA2,1967-11-27 00:00:00,7
SMLA2,1967-12-04 00:00:00,16
SMLA2,1967-12-11 00:00:00,17
SMLA2,1967-12-18 00:00:00,19
SMLA2,1967-12-27 00:00:00,20
SMLA2,1968-01-02 00:00:00,20
SMLA2,1968-01-09 00:00:00,19
SMLA2,1968-01-16 00:00:00,21
SMLA2,1968-01-23 00:00:00,22
SMLA2,1968-01-29 00:00:00,22
SMLA2,1968-02-06 00:00:00,22
SMLA2,1968-02-13 00:00:00,22
